name,comment
捞王锅物料理(莘庄仲盛店),5920
九鼎轩脆毛肚火锅(龙州路店),240
小辉辉涮肉,630
哥老官重庆美蛙鱼头(胜辛万达广场店),179
青花椒砂锅鱼(龙之梦购物中心店),6703
吾小九金汤芋儿鸡火锅(189广场店),162
錦成巷,1281
田园山礼海南椰子鸡,1757
蜀大侠火锅(松江店),748
煲宫(三林金谊店),305
南门涮肉(城隍庙店),678
壹品锅港式炭火打边炉(凉城店),372
左庭右院鲜牛肉火锅(宝地广场店),901
凯达石斑鱼打边炉(证大喜马拉雅店),1381
嗨锅(徐汇日月光店),678
涮福记(世纪汇店),597
湯季锅物料理(光启城店),1399
湊湊火锅·茶憩(静安晶品店),5250
左庭右院鲜牛肉火锅(五角场特力屋店),6176
23度不太冷椰子鸡火锅,1530
捞王锅物料理(中原城市广场店),8136
上上谦串串香火锅(龙之梦长宁店),23102
重庆高老九火锅(爱琴海购物公园店),1084
麻十七重庆老麻火锅(三林印象城店),379
重庆袁老四老火锅,557
重庆高老九火锅(松江万达广场店),1398
季悦火锅(香港广场店),3871
焱泉重庆火锅,167
京炉·北京烤鸭火锅(日月光店),1806
煲宫(七宝万科广场店),2148
重庆高老九火锅(打浦桥店),7843
重庆高老九火锅(金杨第一商城店),215
捞王锅物料理(米岛店),4601
哈尼石锅鱼(长宁来福士店),673
名将法式铁板烧,19
重庆高老九火锅(新大陆店),109
介家有料串串香(巴黎春天天山店),4375
韩式年糕火锅,14
今日牛事潮汕鲜牛肉火锅(瑞金店),3442
左庭右院鲜牛肉火锅(周浦万达店),1838
左庭右院鲜牛肉火锅(嘉定万达店),499
豆捞坊·胶原花胶火锅(万达广场宝山店),7950
777排档火锅·鸿馆,836
重庆高老九火锅(宝山宝乐汇店),1282
串江湖鲜货串串香火锅(东昌路店),884
湊湊火锅·茶憩(打浦桥日月光店),2077
左庭右院鲜牛肉火锅(百联嘉定店),1067
协乐海鲜火锅,55
湊湊火锅·茶憩(来福士广场长宁店),6618
重庆高老九火锅(龙湖天街店),955
大签门牛肉火锅串串(定西路店),1310
蛙来哒炭烧牛蛙(打浦桥日月光店),710
囍凤楼(长寿路店),151
這一小锅(日月光店),63
捞王锅物料理(开元地中海店),401
月光下的毡房 牛羊滋补火锅(中谊路店),929
牧羊庄烤全羊神农牧羊(嘉定店),253
如一鸡鲍鱼(长泰广场店),223
